Block_ID,N_Number,Cmd_F,Cmd_S,Is_G01,Is_G02,Is_G03,Is_Traori,Is_Cycle800,Is_MCALL_Sub,C832_Tol,C832_Mode,Tgt_X,Tgt_Y,Tgt_Z,Tgt_B,Tgt_C,Delta_3D,Delta_Rot,Tool_Vector_Delta,Kinematic_Blend_Ratio,Sharpness_Angle,Is_Motion_Block,Is_Reversal_X,Is_Reversal_Y,Is_Reversal_Z,Theo_Duration,Duration_Sec,Target_Feedrate
50,50,20000.0,2050.0,0,0,0,0,1,0,0.1,0,-92.931,-198.901,-1.0,0.0,0.0,633.2349315712139,0.0,0.0,0.0,2.981421779884475,1,1,1,0,1.8997047947136418,1.8997047947136418,20000.0
51,51,20000.0,2050.0,0,0,0,0,1,0,0.1,0,-92.931,-198.901,215.0,0.0,0.0,216.0,0.0,0.0,0.0,1.5707963267948966,1,0,0,0,0.648,0.648,20000.0
52,52,20000.0,2050.0,0,0,0,0,1,0,0.1,0,-92.931,-198.901,137.425,0.0,0.0,77.57499999999999,0.0,0.0,0.0,3.141592653589793,1,0,0,1,0.23272499999999996,0.23272499999999996,20000.0
53,53,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-92.931,-198.901,127.425,0.0,0.0,10.000000000000014,0.0,0.0,0.0,0.0,1,0,0,0,0.4000000000000005,0.4000000000000005,1500.0
54,54,500.0,2050.0,1,0,0,0,1,0,0.1,0,-92.931,-198.901,122.425,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1,0,0,0,0.6,0.6,500.0
55,55,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-92.931,-205.901,122.425,0.0,0.0,7.0,0.0,0.0,0.0,1.5707963267948966,1,0,0,0,0.28,0.28,1500.0
56,56,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-92.931,-218.157,122.425,0.0,0.0,12.256,0.0,0.0,0.0,0.0,1,0,0,0,0.49024,0.49024,1500.0
57,57,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-28.531,-218.157,122.425,0.0,0.0,64.4,0.0,0.0,0.0,1.5707963267948966,1,0,0,0,2.576,2.576,1500.0
58,58,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-27.831,-218.137,122.425,0.0,0.0,0.7002856560004634,0.0,0.0,0.0,0.02856365783877898,1,0,0,0,0.02801142624001854,18.533725048532858,2.267063919962162
59,59,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-27.644,-218.125,122.425,0.0,0.0,0.1873846311734248,0.0,0.0,0.0,0.03551959802359253,1,0,0,0,0.007495385246936992,4.959312250266477,2.267063919962162
60,60,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-27.244,-218.116,122.425,0.0,0.0,0.40010123718878776,0.0,0.0,0.0,0.04158705158451736,1,0,0,0,0.016004049487551512,10.58905927616189,2.267063919962162
61,61,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-26.845,-218.147,122.425,0.0,0.0,0.4002024487681195,0.0,0.0,0.0,0.10003467263006911,1,0,1,0,0.01600809795072478,10.591737936744167,2.267063919962162
62,62,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-26.451,-218.217,122.425,0.0,0.0,0.40016996389034715,0.0,0.0,0.0,0.09829180772955524,1,0,0,0,0.016006798555613884,10.59087819359834,2.267063919962162
63,63,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-26.066,-218.327,122.425,0.0,0.0,0.40040604391042595,0.0,0.0,0.0,0.1024693829232973,1,0,0,0,0.016016241756417037,10.597126275569034,2.267063919962162
64,64,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-25.694,-218.474,122.425,0.0,0.0,0.3999912499042915,0.0,0.0,0.0,0.09802846944122909,1,0,0,0,0.015999649996171664,10.586148358206879,2.267063919962162
65,65,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-25.338,-218.658,122.425,0.0,0.0,0.40073931676340135,0.0,0.0,0.0,0.100711537030746,1,0,0,0,0.016029572670536056,10.605946658180416,2.267063919962162
66,66,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-25.003,-218.876,122.425,0.0,0.0,0.3996861268545711,0.0,0.0,0.0,0.09985999391652114,1,0,0,0,0.015987445074182843,10.578072986876577,2.267063919962162
67,67,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-24.691,-219.127,122.425,0.0,0.0,0.400431017779596,0.0,0.0,0.0,0.10057138525143561,1,0,0,0,0.01601724071118384,10.597787232737911,2.267063919962162
68,68,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-24.518,-219.291,122.425,0.0,0.0,0.23837994882119432,0.0,0.0,0.0,0.08122723374714182,1,0,0,0,0.009535197952847772,6.308951769436822,2.267063919962162
69,69,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-24.25,-219.588,122.425,0.0,0.0,0.40004124787326445,0.0,0.0,0.0,0.07798231561422243,1,0,0,0,0.01600164991493058,10.587471601946044,2.267063919962162
70,70,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-24.013,-219.911,122.425,0.0,0.0,0.4006220163695501,0.0,0.0,0.0,0.1010985134664451,1,0,0,0,0.016024880654782005,10.602842191840008,2.267063919962162
71,71,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-23.809,-220.255,122.425,0.0,0.0,0.3999399954993201,0.0,0.0,0.0,0.09774347123191074,1,0,0,0,0.015997599819972806,10.584791861695596,2.267063919962162
72,72,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-23.641,-220.618,122.425,0.0,0.0,0.3999912499042955,0.0,0.0,0.0,0.10181830396631648,1,0,0,0,0.015999649996171823,10.586148358206987,2.267063919962162
73,73,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-23.509,-220.996,122.425,0.0,0.0,0.40038481489688177,0.0,0.0,0.0,0.09748783819773583,1,0,0,0,0.016015392595875273,0.29600000000000004,81.15908410071927
74,74,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-23.416,-221.385,122.425,0.0,0.0,0.39996249824200475,0.0,0.0,0.0,0.10129785594548263,1,0,0,0,0.01599849992968019,0.292,82.18407498123386
75,75,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-23.363,-221.782,122.425,0.0,0.0,0.4005221591872487,0.0,0.0,0.0,0.10195322840976175,1,0,0,0,0.016020886367489946,0.292,82.29907380559905
76,76,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-23.349,-222.182,122.425,0.0,0.0,0.40024492501464876,0.0,0.0,0.0,0.09773080274234355,1,0,0,0,0.01600979700058595,0.3,80.04898500292975
77,77,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-23.392,-223.12,122.425,0.0,0.0,0.9389850904034798,0.0,0.0,0.0,0.08079586413340695,1,1,0,0,0.03755940361613919,0.536,105.11027131382235
78,78,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-23.394,-254.244,122.425,0.0,0.0,31.12400006425909,0.0,0.0,0.0,0.04574588621230979,1,0,0,0,1.2449600025703635,1.2449600025703635,1500.0
79,79,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-161.731,-254.244,122.425,0.0,0.0,138.337,0.0,0.0,0.0,1.5707320677023235,1,0,0,0,5.53348,5.53348,1500.0
80,80,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-161.731,-222.677,122.425,0.0,0.0,31.567000000000007,0.0,0.0,0.0,1.5707963267948966,1,0,0,0,1.2626800000000002,1.2626800000000002,1500.0
81,81,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-161.772,-222.285,122.425,0.0,0.0,0.39413830060017835,0.0,0.0,0.0,0.10421292820364646,1,0,0,0,0.015765532024007135,0.08,295.60372545013377
82,82,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-161.774,-221.891,122.425,0.0,0.0,0.39400507610943836,0.0,0.0,0.0,0.0991368296703237,1,0,0,0,0.015760203044377533,0.07200000000000001,328.33756342453194
83,83,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-161.735,-221.498,122.425,0.0,0.0,0.39493037361033595,0.0,0.0,0.0,0.10398889326968247,1,1,0,0,0.01579721494441344,0.052000000000000005,455.6888926273107
