Block_ID,N_Number,Cmd_F,Cmd_S,Is_G01,Is_G02,Is_G03,Is_Traori,Is_Cycle800,Is_MCALL_Sub,C832_Tol,C832_Mode,Tgt_X,Tgt_Y,Tgt_Z,Tgt_B,Tgt_C,Delta_3D,Delta_Rot,Tool_Vector_Delta,Kinematic_Blend_Ratio,Sharpness_Angle,Is_Motion_Block,Is_Reversal_X,Is_Reversal_Y,Is_Reversal_Z,Theo_Duration,Duration_Sec,Target_Feedrate
58,58,3142,2380,1,0,0,1,1,0,0.005,3,338.987,71.504,175.838,3,3,5,0,0,0,2.051872882,1,0,0,1,0.095480586,0.095480586,3142
59,59,1571,2380,1,0,0,1,1,0,0.005,3,338.987,71.504,170.838,3,3,5,0,0,0,0,1,0,0,0,0.190961171,0.190961171,1571
60,60,3142,2380,1,0,0,1,1,0,0.005,3,340.748,68.479,170.838,3,3,3.50024942,0,0,0,1.570796327,1,0,0,0,0.066841173,0.066841173,3142
61,61,2199,2380,1,0,0,1,1,0,0.005,3,341.583,67.045,170.838,3,3,1.659391756,0,0,0,0.000103473,1,0,0,0,0.045276719,0.045276719,2199
62,62,2199,2380,1,0,0,1,1,0,0.005,3,341.615,66.99,170.838,3,3,0.063631753,0,0,0,0.000350412,1,0,0,0,0.001736201,0.001736201,2199
63,63,2199,2380,1,0,0,1,1,0,0.005,3,341.942,67.177,170.838,3,3,0.376693509,0,0,0,1.563328486,1,0,1,0,0.010278131,0.010278131,2199
64,64,2199,2380,1,0,0,1,1,0,0.005,3,342.073,67.226,170.838,3,3,0.13986422,0,0,0,0.161541536,1,0,0,0,0.003816213,0.003816213,2199
65,65,2199,2380,1,0,0,1,1,0,0.005,3,342.213,67.232,170.838,3,3,0.140128512,0,0,0,0.315102918,1,0,0,0,0.003823425,0.003823425,2199
66,66,2199,2380,1,0,0,1,1,0,0.005,3,342.348,67.194,170.838,3,3,0.140246212,0,0,0,0.317212884,1,0,1,0,0.003826636,0.003826636,2199
67,67,2199,2380,1,0,0,1,1,0,0.005,3,342.465,67.118,170.838,3,3,0.139517024,0,0,0,0.301692789,1,0,0,0,0.00380674,0.00380674,2199
68,68,2199,2380,1,0,0,1,1,0,0.005,3,342.553,67.009,170.838,3,3,0.140089257,0,0,0,0.315521365,1,0,0,0,0.003822354,0.003822354,2199
69,69,2199,2380,1,0,0,1,1,0,0.005,3,342.603,66.878,170.838,3,3,0.140217688,0,0,0,0.314586546,1,0,0,0,0.003825858,0.003825858,2199
70,70,2199,2380,1,0,0,1,1,0,0.005,3,342.76,66.025,170.838,3,3,0.867328081,0,0,0,0.182594561,1,0,0,0,0.023665159,0.023665159,2199
71,71,2199,2380,1,0,0,1,1,0,0.005,3,342.873,65.165,170.838,3,3,0.867392068,0,0,0,0.051372197,1,0,0,0,0.023666905,0.023666905,2199
72,72,2199,2380,1,0,0,1,1,0,0.005,3,342.942,64.301,170.838,3,3,0.866750829,0,0,0,0.050954939,1,0,0,0,0.023649409,0.023649409,2199
73,73,2199,2380,1,0,0,1,1,0,0.005,3,342.965,63.434,170.838,3,3,0.867305021,0,0,0,0.053169941,1,0,0,0,0.02366453,0.02366453,2199
74,74,2199,2380,1,0,0,1,1,0,0.005,3,342.944,62.567,170.838,3,3,0.867254288,0,0,0,0.050738756,1,1,0,0,0.023663146,0.023663146,2199
75,75,2199,2380,1,0,0,1,1,0,0.005,3,342.878,61.702,170.838,3,3,0.867514265,0,0,0,0.051936307,1,0,0,0,0.023670239,0.023670239,2199
76,76,2199,2380,1,0,0,1,1,0,0.005,3,342.767,60.842,170.838,3,3,0.867133784,0,0,0,0.052207098,1,0,0,0,0.023659858,0.023659858,2199
77,77,3142,2380,1,0,0,1,1,0,0.005,3,342.612,59.989,170.838,3,3,0.866968281,0,0,0,0.05139021,1,0,0,0,0.016555728,0.016555728,3142
78,78,3142,2380,1,0,0,1,1,0,0.005,3,342.413,59.145,170.838,3,3,0.86714301,0,0,0,0.051802564,1,0,0,0,0.016559064,0.016559064,3142
79,79,3142,2380,1,0,0,1,1,0,0.005,3,342.17,58.312,170.838,3,3,0.867720001,0,0,0,0.052287311,1,0,0,0,0.016570083,0.016570083,3142
80,80,3142,2380,1,0,0,1,1,0,0.005,3,341.884,57.494,170.838,3,3,0.866556403,0,0,0,0.052507851,1,0,0,0,0.016547863,0.016547863,3142
