Signal,key,event,eventChannel,name,description,domain,interval,dataType,unitsType,displayRes
f1,s1,1,1,/Channel/!SPARP/actLineNumber [u1  1],Line number of current NC instruction (start:1),NCU_1,0.004,integer,none,0
f2,s2,1,1,/Channel/!SGA/actToolEdgeCenterPos [u1  1],Center point of a cutting edge,NCU_1,0.004,double,posn,5
f3,s3,1,1,/Channel/!SGA/actToolEdgeCenterPos [u1  2],Center point of a cutting edge,NCU_1,0.004,double,posn,5
f4,s4,1,1,/Channel/!SGA/actToolEdgeCenterPos [u1  3],Center point of a cutting edge,NCU_1,0.004,double,posn,5
f5,s5,1,1,/Channel/!SGA/actToolEdgeCenterPos [u1  4],Center point of a cutting edge,NCU_1,0.004,double,posn,5
f6,s6,1,1,/Channel/!SGA/actToolEdgeCenterPos [u1  5],Center point of a cutting edge,NCU_1,0.004,double,posn,5
f7,s7,1,1,/Channel/!S/acVactB [u1  1],Path veloc. in basic coordinate system,NCU_1,0.004,double,velo,5
,,,,,,,,,,
time,f1\s1,f2\s2,f3\s3,f4\s4,f5\s5,f6\s6,f7\s7,,,
1.236,49,-100.35409,-57.99142,-381.838,0,0,84438.8745,,,
1.24,49,-95.51743,-55.19647,-381.838,0,0,83128.73769,,,
1.244,49,-90.75928,-52.44689,-381.838,0,0,81718.81238,,,
1.248,49,-86.08539,-49.746,-381.838,0,0,80209.09857,,,
1.252,49,-81.50153,-47.09713,-381.838,0,0,78599.59625,,,
1.256,49,-77.01345,-44.50361,-381.838,0,0,76890.30544,,,
1.26,49,-72.62691,-41.96877,-381.838,0,0,75081.22612,,,
1.264,49,-68.34768,-39.49594,-381.838,0,0,73172.3583,,,
1.268,49,-64.18151,-37.08844,-381.838,0,0,71163.70197,,,
1.272,49,-60.13417,-34.74961,-381.838,0,0,69055.25714,,,
1.276,49,-56.2114,-32.48278,-381.838,0,0,66847.02381,,,
1.28,49,-52.41899,-30.29126,-381.838,0,0,64539.00198,,,
1.284,49,-48.76267,-28.17839,-381.838,0,0,62131.19164,,,
1.288,49,-45.24798,-26.14736,-381.838,0,0,59643.34155,,,
1.292,49,-41.87725,-24.19952,-381.838,0,0,57148.62898,,,
1.296,49,-38.65051,-22.33489,-381.838,0,0,54653.91641,,,
1.3,49,-35.56777,-20.55348,-381.838,0,0,52159.20385,,,
1.304,49,-32.62903,-18.85528,-381.838,0,0,49664.49128,,,
1.308,49,-29.8343,-17.24029,-381.838,0,0,47169.77871,,,
1.312,49,-27.18356,-15.70851,-381.838,0,0,44675.06615,,,
1.316,49,-24.67682,-14.25995,-381.838,0,0,42180.35358,,,
1.32,49,-22.31408,-12.8946,-381.838,0,0,39685.64102,,,
1.324,49,-20.09534,-11.61246,-381.838,0,0,37190.92845,,,
1.328,49,-18.02061,-10.41353,-381.838,0,0,34696.21588,,,
1.332,49,-16.08987,-9.29782,-381.838,0,0,32201.50332,,,
1.336,49,-14.30267,-8.26505,-381.838,0,0,29737.49813,,,
1.34,49,-12.65494,-7.31288,-381.838,0,0,27370.96447,,,
1.344,49,-11.14093,-6.43799,-381.838,0,0,25104.21931,,,
1.348,49,-9.75488,-5.63703,-381.838,0,0,22937.26265,,,
1.352,49,-8.49104,-4.9067,-381.838,0,0,20870.0945,,,
1.356,49,-7.34363,-4.24365,-381.838,0,0,18902.71485,,,
1.36,49,-6.30691,-3.64456,-381.838,0,0,17035.1237,,,
1.364,49,-5.37511,-3.1061,-381.838,0,0,15267.32106,,,
1.368,49,-4.54247,-2.62495,-381.838,0,0,13599.30691,,,
1.372,49,-3.80323,-2.19776,-381.838,0,0,12031.08127,,,
1.376,49,-3.15163,-1.82122,-381.838,0,0,10562.64413,,,
1.38,49,-2.58191,-1.492,-381.838,0,0,9193.995498,,,
1.384,49,-2.08831,-1.20677,-381.838,0,0,7925.135365,,,
1.388,49,-1.66508,-0.9622,-381.838,0,0,6756.063735,,,
1.392,49,-1.30645,-0.75495,-381.838,0,0,5686.780607,,,
1.396,49,-1.00665,-0.58171,-381.838,0,0,4717.285983,,,
1.4,49,-0.75994,-0.43915,-381.838,0,0,3847.57986,,,
1.404,49,-0.56055,-0.32393,-381.838,0,0,3077.662241,,,
1.408,49,-0.40272,-0.23272,-381.838,0,0,2407.533124,,,
1.412,49,-0.2807,-0.16221,-381.838,0,0,1837.19251,,,
1.416,49,-0.18871,-0.10905,-381.838,0,0,1366.640398,,,
1.42,49,-0.12101,-0.06993,-381.838,0,0,995.8767892,,,
1.424,49,-0.07182,-0.0415,-381.838,0,0,724.9016829,,,
1.428,49,-0.0354,-0.02046,-381.838,0,0,553.7150792,,,
1.432,49,-0.00598,-0.00346,-381.838,0,0,482.3169781,,,
1.436,50,0,0,-381.81251,0,0,504.0131284,,,
1.44,50,0,0,-381.77579,0,0,612.1092787,,,
1.444,50,0,0,-381.72897,0,0,806.6054289,,,
1.448,50,0,0,-381.66632,0,0,1087.501579,,,
1.452,50,0,0,-381.58205,0,0,1454.797729,,,
1.456,50,0,0,-381.47042,0,0,1908.49388,,,
1.46,50,0,0,-381.32567,0,0,2448.59003,,,
1.464,50,0,0,-381.14203,0,0,3075.08618,,,
1.468,50,0,0,-380.91374,0,0,3787.982331,,,
1.472,50,0,0,-380.63504,0,0,4587.278481,,,
1.476,50,0,0,-380.30018,0,0,5472.974631,,,
1.48,50,0,0,-379.90339,0,0,6445.070781,,,
1.484,50,0,0,-379.43892,0,0,7503.566932,,,
1.488,50,0,0,-378.901,0,0,8648.463082,,,
1.492,50,0,0,-378.28387,0,0,9879.759232,,,
1.496,50,0,0,-377.58177,0,0,11197.45538,,,
1.5,50,0,0,-376.78895,0,0,12601.55153,,,
1.504,50,0,0,-375.89965,0,0,14092.04768,,,
1.508,50,0,0,-374.9081,0,0,15668.94383,,,
1.512,50,0,0,-373.80854,0,0,17332.23998,,,
1.516,50,0,0,-372.59521,0,0,19081.93613,,,
1.52,50,0,0,-371.26236,0,0,20918.03228,,,
1.524,50,0,0,-369.80422,0,0,22840.52843,,,
1.528,50,0,0,-368.21503,0,0,24849.42458,,,
1.532,50,0,0,-366.48904,0,0,26944.72073,,,
1.536,50,0,0,-364.62121,0,0,29093.96881,,,
1.54,50,0,0,-362.60961,0,0,31253.96881,,,
1.544,50,0,0,-360.45401,0,0,33413.96881,,,
1.548,50,0,0,-358.15441,0,0,35573.96881,,,
1.552,50,0,0,-355.71081,0,0,37733.96881,,,
1.556,50,0,0,-353.12322,0,0,39893.96881,,,
1.56,50,0,0,-350.39162,0,0,42053.96881,,,
